,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
249,117,emp_length:10,0.0,emp_length,0.0,0.0,0.0,0.0
162,30,public_records: <=2,0.0,public_records,0.0,0.0,0.0,0.0
262,130,"mths_since_issue_d:(91.0, 132.0]",0.0,mths_since_issue_d,0.0,0.0,0.0,0.0
160,28,annual_income: 96001-120000,0.0,annual_income,0.0,0.0,0.0,0.0
135,3,"loan_amount:(999.999, 6300.0]",0.0,loan_amount,0.0,0.0,0.0,0.0
133,1,installment: 153-209,0.0,installment,0.0,0.0,0.0,0.0
84,84,credit_card_usage: 78-85,-0.025129309371183312,credit_card_usage,-0.4388813484826629,-0.0,0.4388813484826629,-0.0
127,127,"mths_since_earliest_cr_line:(351.0, 864.0]",0.016455746704046405,mths_since_earliest_cr_line,0.2873982805131481,0.0,-0.2873982805131481,0.0
124,124,"mths_since_earliest_cr_line:(213.0, 235.0]",0.007983349907996545,mths_since_earliest_cr_line,0.13942855815402294,0.0,-0.13942855815402294,0.0
122,122,"mths_since_earliest_cr_line:(86.999, 182.0]",-0.01548086225063735,mths_since_earliest_cr_line,-0.270372002663364,-0.0,0.270372002663364,-0.0
40,40,"last_delinquency_months:(14.0, 26.0]",0.0003291343845474844,last_delinquency_months,0.005748305311082619,0.0,-0.005748305311082619,0.0
59,59,delinquency_2y:13.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
43,43,"last_derog_months:(-0.001, 23.0]",-0.008101924910555607,last_derog_months,-0.1414994609492718,-0.0,0.1414994609492718,-0.0
62,62,delinquency_2y:16.0,0.022886954664276954,delinquency_2y,0.3997188055330328,0.0,-0.3997188055330328,0.0
111,111,Region:Wales,-0.014361325628057978,Region,-0.25081938642008583,-0.0,0.25081938642008583,-0.0
38,38,"last_record_months:(88.0, 105.0]",0.019998860153762194,last_record_months,0.34927846932651463,0.0,-0.34927846932651463,0.0
65,65,delinquency_2y:19.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
66,66,delinquency_2y:21.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
106,106,Region:EastMidlands,0.009079910941828839,Region,0.1585799076047062,0.0,-0.1585799076047062,0.0
67,67,delinquency_2y:22.0,0.01779114454727751,delinquency_2y,0.31072089545417736,0.0,-0.31072089545417736,0.0
70,70,inquiries_6m: 3-4,-0.015736347308408033,inquiries_6m,-0.27483402846022686,-0.0,0.27483402846022686,-0.0
23,23,home_ownership:MORTGAGE,0.022105377369356888,home_ownership,0.386068621515986,0.0,-0.386068621515986,0.0
159,27,annual_income: 82001-96000,0.0,annual_income,0.0,0.0,0.0,0.0
24,24,home_ownership:OWN,0.0071015730874253126,home_ownership,0.12402839755443087,0.0,-0.12402839755443087,0.0
87,87,credit_card_balance: >=4975,0.02720881956498666,credit_card_balance,0.47519982522864285,0.0,-0.47519982522864285,0.0
86,86,credit_card_balance: <4975,0.02720881956498666,credit_card_balance,0.47519982522864285,0.0,-0.47519982522864285,0.0
134,2,installment: >=503,0.0,installment,0.0,0.0,0.0,0.0
132,0,installment: <=152,0.0,installment,0.0,0.0,0.0,0.0
136,4,"loan_amount:(6300.0, 10000.0]",0.0,loan_amount,0.0,0.0,0.0,0.0
146,14,purpose:educational,0.0,purpose,0.0,0.0,0.0,0.0
158,26,annual_income: 42001-82000,0.0,annual_income,0.0,0.0,0.0,0.0
157,25,annual_income: 34001-42000,0.0,annual_income,0.0,0.0,0.0,0.0
156,24,home_ownership:RENT_OTHER_NONE_ANY,0.0,home_ownership,0.0,0.0,0.0,0.0
155,23,home_ownership:OWN,0.0,home_ownership,0.0,0.0,0.0,0.0
154,22,home_ownership:MORTGAGE,0.0,home_ownership,0.0,0.0,0.0,0.0
153,21,purpose:Others,0.0,purpose,0.0,0.0,0.0,0.0
152,20,purpose:wedding,0.0,purpose,0.0,0.0,0.0,0.0
151,19,purpose:small_business,0.0,purpose,0.0,0.0,0.0,0.0
150,18,purpose:renewable_energy,0.0,purpose,0.0,0.0,0.0,0.0
149,17,purpose:other,0.0,purpose,0.0,0.0,0.0,0.0
148,16,purpose:moving,0.0,purpose,0.0,0.0,0.0,0.0
137,5,"loan_amount:(14400.0, 20000.0]",0.0,loan_amount,0.0,0.0,0.0,0.0
147,15,purpose:medical,0.0,purpose,0.0,0.0,0.0,0.0
145,13,purpose:debt_consolidation,0.0,purpose,0.0,0.0,0.0,0.0
142,10,"interest_rate:(17.27, 28.99]",0.0,interest_rate,0.0,0.0,0.0,0.0
138,6,"loan_amount:(20000.0, 35000.0]",0.0,loan_amount,0.0,0.0,0.0,0.0
139,7,"interest_rate:(5.319, 9.67]",0.0,interest_rate,0.0,0.0,0.0,0.0
140,8,"interest_rate:(9.67, 12.29]",0.0,interest_rate,0.0,0.0,0.0,0.0
141,9,"interest_rate:(12.29, 14.33]",0.0,interest_rate,0.0,0.0,0.0,0.0
83,83,credit_card_usage: 70-77,-0.009376663968868033,credit_card_usage,-0.1637626751352227,-0.0,0.1637626751352227,-0.0
143,11,term:36,0.0,term,0.0,0.0,0.0,0.0
144,12,purpose:car,0.0,purpose,0.0,0.0,0.0,0.0
41,41,"last_delinquency_months:(26.0, 39.0]",-0.06563579677302765,last_delinquency_months,-1.1463238631425998,-1.0,0.14632386314259982,-1.0
60,60,delinquency_2y:14.0,-0.055069580104993306,delinquency_2y,-0.9617857466695431,-1.0,-0.038214253330456915,-1.0
42,42,"last_delinquency_months:(39.0, 56.0]",-0.044483787651209736,last_delinquency_months,-0.7769057406872951,-1.0,-0.22309425931270488,-1.0
46,46,"last_derog_months:(64.0, 154.0]",-0.08209102550164464,last_derog_months,-1.433713097256916,-1.0,0.4337130972569161,-1.0
73,73,inquiries_6m: >= 8,-0.06785883586712718,inquiries_6m,-1.18514906048236,-1.0,0.18514906048236002,-1.0
78,78,"debt_to_income:(18.3, 23.37]",-0.03891745169863921,debt_to_income,-0.6796901350816308,-1.0,-0.3203098649183692,-1.0
58,58,delinquency_2y:11.0,-0.07410882139042503,delinquency_2y,-1.2943045503506005,-1.0,0.29430455035060055,-1.0
25,25,home_ownership:RENT_OTHER_NONE_ANY,-0.034246595737749595,home_ownership,-0.598114014846736,-1.0,-0.401885985153264,-1.0
44,44,"last_derog_months:(36.0, 49.0]",-0.052470730807220686,last_derog_months,-0.9163970546262344,-1.0,-0.08360294537376556,-1.0
110,110,Region:SouthEastEngland,-0.0598089721294831,Region,-1.0445588436923092,-1.0,0.044558843692309225,-1.0
117,117,emp_length:7-9,-0.07532283064469084,emp_length,-1.3155071234381681,-1.0,0.3155071234381681,-1.0
92,92,"nr_accounts:(15.0, 21.0]",-0.06740132808903564,nr_accounts,-1.1771587242727872,-1.0,0.17715872427278723,-1.0
126,126,"mths_since_earliest_cr_line:(294.0, 351.0]",-0.07959763737722114,mths_since_earliest_cr_line,-1.3901662760461222,-1.0,0.3901662760461222,-1.0
93,93,"nr_accounts:(21.0, 27.0]",-0.06561133082686778,nr_accounts,-1.1458965673787591,-1.0,0.1458965673787591,-1.0
22,22,purpose:Others,-0.046690523744130845,purpose,-0.8154462074347493,-1.0,-0.18455379256525073,-1.0
19,19,purpose:renewable_energy,-0.037576119267772906,purpose,-0.6562638730492488,-1.0,-0.3437361269507512,-1.0
